BikeId;Rental Start Date;Rental End Date;Duration;Fare (in Cents);Starting Location;Ending Location;Rough Distance (KM)
1125;29.11.2021 23:35;29.11.2021 23:44;00:08:56;50;37.8629403,32.4807564;37.85602951049805,32.47060012817383;1.177072483
1040;29.11.2021 21:08;29.11.2021 22:31;01:23:12;350;37.895555,32.5061067;37.89548873901367,32.506099700927734;0.007393438
1169;29.11.2021 21:06;29.11.2021 21:07;00:01:02;50;37.8955005,32.5060881;37.89548873901367,32.50611877441406;0.002992486
1085;29.11.2021 20:03;29.11.2021 20:16;00:13:42;200;37.9482371,32.4937502;37.948211669921875,32.49375915527344;0.0029347
1247;29.11.2021 19:47;29.11.2021 19:54;00:06:50;50;37.8720943,32.4992723;37.87031173706055,32.486289978027344;1.156652384
1292;29.11.2021 19:47;29.11.2021 19:54;00:07:00;50;37.87237,32.4971374;37.87051010131836,32.48630142211914;0.973365146
1123;29.11.2021 19:36;29.11.2021 19:41;00:04:26;50;37.877893889867934,32.48284724143207;37.87314987182617,32.4817008972168;0.537020658
1171;29.11.2021 18:46;29.11.2021 19:15;00:28:32;200;37.8740333,32.4896039;37.864410400390625,32.4536018371582;3.336453291
1287;29.11.2021 18:38;29.11.2021 19:16;00:38:42;200;37.874062,32.4895683;37.86445999145508,32.45355987548828;3.336236481
1106;29.11.2021 17:27;29.11.2021 17:47;00:19:54;200;37.9482177,32.4937294;37.94969177246094,32.51329040527344;1.722996461
1052;29.11.2021 17:26;29.11.2021 17:34;00:08:08;50;37.8537265,32.4234552;37.866661071777344,32.42457962036133;1.441642257
1085;29.11.2021 17:25;29.11.2021 17:26;00:01:14;50;37.9482496,32.4937562;37.94820022583008,32.493778228759766;0.005820038
1215;29.11.2021 17:25;29.11.2021 17:47;00:22:16;200;37.9482136,32.4937707;37.94990921020508,32.51333999633789;1.726234313
1078;29.11.2021 17:23;29.11.2021 18:18;00:55:18;200;37.949791,32.5133081;37.949798583984375,32.51335906982422;0.004548041
1240;29.11.2021 17:19;29.11.2021 17:47;00:27:55;200;38.0225796,32.5124697;38.01374053955078,32.521209716796875;1.245876479
1256;29.11.2021 17:18;29.11.2021 17:22;00:03:26;50;37.9497767,32.5132947;37.94977951049805,32.51325988769531;0.003068395
1208;29.11.2021 17:17;29.11.2021 17:49;00:31:02;200;38.0225532,32.5125651;38.01374816894531,32.52125930786133;1.240425672
1105;29.11.2021 17:06;29.11.2021 17:50;00:44:13;200;38.0090437,32.5275342;38.00905990600586,32.52745819091797;0.006898816
1292;29.11.2021 17:00;29.11.2021 17:28;00:27:53;200;37.8628133,32.5431949;37.87202072143555,32.4989013671875;4.020666066
1039;29.11.2021 16:54;29.11.2021 17:04;00:09:56;50;38.02253100769309,32.51259817954436;38.01348876953125,32.521209716796875;1.256989813
1236;29.11.2021 16:46;29.11.2021 17:49;01:02:45;200;38.00908401146346,32.52747402529467;38.00918960571289,32.52756118774414;0.014006409
1216;29.11.2021 16:45;29.11.2021 17:50;01:05:05;200;38.009098,32.5275229;38.009029388427734,32.527530670166016;0.007659571
1058;29.11.2021 16:41;29.11.2021 17:50;01:09:25;200;38.0090927,32.5275521;38.00912094116211,32.52751159667969;0.004738533
1127;29.11.2021 16:40;29.11.2021 17:50;01:09:54;200;38.0090975,32.5274976;38.00914001464844,32.52751922607422;0.005092969
1233;29.11.2021 16:28;29.11.2021 16:29;00:01:12;50;38.01381971490089,32.52116291313721;38.013851165771484,32.52090835571289;0.02257337
1039;29.11.2021 16:25;29.11.2021 16:39;00:13:42;200;38.0138177,32.5211282;38.02244186401367,32.512481689453125;1.222019704
1233;29.11.2021 16:24;29.11.2021 16:25;00:00:51;0;38.0137652,32.5211555;38.01361083984375,32.52096939086914;0.023673556
